coord_x,coord_y,stress_yy,tau_xy
1.25, 1.1948334150623083, -45169.22856680279, -0.0000000000012094968163274948 
1.25, 3.5845003277309138, -45222.80603984967, -0.000000000003723942748972889 
1.25, 5.974167212884832, -45222.80603984967, -0.000000000005930170307955953 
1.25, 8.363834098038751, -45222.80603984967, -0.000000000008597031936428529 
1.25, 10.765153753709658, -35412.89704547664, -0.000000000011202512462110479 
1.25, 13.179215105904474, -34976.324326285976, -0.000000000007770675096503953 
1.25, 15.59329716483928, -34976.324326285976, -0.000000000005778377503945443 
1.25, 18.007379223774187, -34976.324326285976, -0.0000000000051212387886409735 
1.25, 20.43172354491378, -26121.83876051469, -0.00000000000022384781828364783 
1.25, 22.870298113607763, -24648.62535807083, 0.000000000003860727551908736 
1.25, 25.309319932486464, -24648.62535807083, 0.000000000007677804518195232 
1.25, 27.748341751365476, -24648.62535807083, 0.000000000011188431738774303 
1.25, 30.195731561378036, -16680.681869505515, 0.000000000010548227798575748 
1.25, 32.65942356234826, -14355.667149014282, 0.0000000000026604139541210613 
1.25, 35.1234604256699, -14355.667149014282, 0.000000000000467667553150811 
1.25, 37.58749728899134, -14355.667149014282, -0.000000000003581857538107961 
1.25, 40.058003458418874, -7483.395590040582, -0.000000000008577012172616438 
1.25, 42.54736466642456, -3869.12587310429, -0.0000000000035736359087583925 
1.25, 45.0373256014838, -3869.12587310429, 0.000000000003751795392579037 
1.25, 47.527286536542974, -3869.12587310429, 0.000000000005651294404629228 
3.75, 1.1948334150623081, -45169.228566802725, -0.0000000000012095018455856195 
3.75, 3.5845003277309146, -45222.80603984964, -0.000000000003701061212693988 
3.75, 5.974167212884835, -45222.80603984964, -0.000000000005938162129987746 
3.75, 8.363834098038753, -45222.80603984964, -0.000000000008596488081719399 
3.75, 10.765153753709662, -35412.89704547669, -0.000000000011203988483195523 
3.75, 13.179215105904474, -34976.324326286005, -0.000000000007770675096503953 
3.75, 15.593297164839282, -34976.324326286005, -0.000000000005783034828579112 
3.75, 18.00737922377419, -34976.324326286005, -0.0000000000038266357330962454 
3.75, 20.43172354491378, -26121.83876051468, -0.000000000000039771110358809015 
3.75, 22.870298113607763, -24648.62535807084, 0.000000000003930116490947813 
3.75, 25.309319932486464, -24648.62535807084, 0.000000000007712498987714755 
3.75, 27.748341751365476, -24648.62535807084, 0.000000000011223126208293852 
3.75, 30.195731561378036, -16680.681869505526, 0.000000000008850445445681456 
3.75, 32.65942356234825, -14355.667149014263, 0.0000000000026950528371034367 
3.75, 35.123460425669904, -14355.667149014263, 0.0000000000005025172348404833 
3.75, 37.587497288991344, -14355.667149014263, -0.0000000000035908620442764706 
3.75, 40.058003458418874, -7483.395590040579, -0.000000000008529459290076224 
3.75, 42.54736466642456, -3869.1258731042703, -0.000000000003018524396445807 
3.75, 45.037325601483815, -3869.1258731042703, 0.000000000003776961303924765 
3.75, 47.52728653654297, -3869.1258731042703, 0.000000000005790337245201182 
6.25, 1.1948334150623083, -45169.22856680279, -0.0000000000012051401553028525 
6.25, 3.584500327730914, -45222.80603984964, -0.000000000003700506009066849 
6.25, 5.974167212884834, -45222.80603984964, -0.000000000005944819808953184 
6.25, 8.363834098038755, -45222.80603984964, -0.000000000008596597004862455 
6.25, 10.765153753709658, -35412.89704547663, -0.000000000011110004288171718 
6.25, 13.179215105904479, -34976.32432628601, -0.000000000005368224199288554 
6.25, 15.59329716483928, -34976.32432628601, -0.000000000005782994892299139 
6.25, 18.007379223774194, -34976.32432628601, -0.00000000000382703016589954 
6.25, 20.431723544913783, -26121.838760514627, 0.00000000000282317518468623 
6.25, 22.87029811360776, -24648.625358070818, 0.000000000003930422895190289 
6.25, 25.309319932486464, -24648.625358070818, 0.000000000007712498987714755 
6.25, 27.748341751365484, -24648.625358070818, 0.000000000010824467661854935 
6.25, 30.195731561378032, -16680.681869505555, 0.000000000009529887526450996 
6.25, 32.65942356234825, -14355.667149014238, 0.0000000000026950528371034367 
6.25, 35.123460425669904, -14355.667149014238, 0.0000000000005025172348404833 
6.25, 37.587497288991344, -14355.667149014238, -0.0000000000035908620442764706 
6.25, 40.05800345841888, -7483.395590040592, -0.000000000008865595849000538 
6.25, 42.54736466642457, -3869.1258731042526, -0.0000000000030009378087039897 
6.25, 45.037325601483815, -3869.1258731042526, 0.000000000003776961303924765 
6.25, 47.52728653654297, -3869.1258731042526, 0.000000000005790337245201182 
8.75, 1.194833415062308, -45169.228566802776, -0.0000000000012073498359603907 
8.75, 3.5845003277309146, -45222.80603984965, -0.000000000003714844026932593 
8.75, 5.974167212884832, -45222.80603984965, -0.000000000005695975392596909 
8.75, 8.363834098038755, -45222.80603984965, -0.000000000008726256076955033 
8.75, 10.76515375370966, -35412.89704547664, -0.000000000011191673186625293 
8.75, 13.179215105904477, -34976.324326286056, -0.000000000008283073384264417 
8.75, 15.59329716483928, -34976.324326286056, -0.000000000005782994892299139 
8.75, 18.007379223774187, -34976.324326286056, -0.000000000004293127366288217 
8.75, 20.431723544913776, -26121.838760514554, -0.00000000000037018941985637253 
8.75, 22.870298113607763, -24648.625358070884, 0.000000000003902671366142235 
8.75, 25.309319932486464, -24648.625358070884, 0.000000000007712498987714755 
8.75, 27.74834175136548, -24648.625358070884, 0.000000000012110040783699104 
8.75, 30.19573156137803, -16680.68186950557, 0.000000000009436676645521274 
8.75, 32.65942356234825, -14355.667149014245, 0.0000000000026950528371034367 
8.75, 35.123460425669904, -14355.667149014245, 0.0000000000005025172348404833 
8.75, 37.587497288991344, -14355.667149014245, -0.0000000000035908620442764706 
8.75, 40.05800345841888, -7483.395590040591, -0.000000000008865595849000538 
8.75, 42.54736466642457, -3869.1258731042644, -0.0000000000027233820525477006 
8.75, 45.037325601483815, -3869.1258731042644, 0.0000000000040198225905615126 
8.75, 47.52728653654296, -3869.1258731042644, 0.000000000005140792064463551 
